N,nbags,exp,injuries,non-injuries,thresh,Val_AUC,Val_RE,Val_SP,Val_TP,Val_FP,Val_TN,Val_FN,Test_AUC,Test_RE,Test_SP,Test_TP,Test_FP,Test_TN,Test_FN
10,9,0,50,2994,0.46558742390738594,0.7462124248496993,0.68,0.6753507014028056,34,972,2022,16,0.7299131596526386,0.64,0.7531730126920507,32,739,2255,18
10,9,1,50,2994,0.4523453447553847,0.7053173012692051,0.64,0.6319305277221109,32,1102,1892,18,0.7084769539078156,0.64,0.6963927855711423,32,909,2085,18
10,9,2,50,2994,0.4606089923116896,0.7519906479625919,0.68,0.6740146960587843,34,976,2018,16,0.7320841683366734,0.52,0.761189044756179,26,715,2279,24
10,9,3,50,2994,0.42757315436999005,0.7237140948563795,0.64,0.5895123580494323,32,1229,1765,18,0.72,0.62,0.7117568470273881,31,863,2131,19
10,9,4,50,2994,0.47324639227655196,0.729686038744155,0.68,0.6706746826987308,34,986,2008,16,0.7206546426185705,0.56,0.7424849699398798,28,771,2223,22
10,9,0,50,2994,0.45235830214288497,0.7117501670006681,0.64,0.642618570474282,32,1070,1924,18,0.7166800267201069,0.62,0.7264529058116233,31,819,2175,19
10,9,1,50,2994,0.485093633333842,0.7970407481629926,0.7,0.7030728122912492,35,889,2105,15,0.7253841015364062,0.48,0.7859051436205745,24,641,2353,26
10,9,2,50,2994,0.3995750281545851,0.6426118904475617,0.58,0.5831663326653307,29,1248,1746,21,0.7345557782231129,0.66,0.6930527722110889,33,919,2075,17
10,9,3,50,2994,0.45667873157395256,0.7368069472277889,0.64,0.6462925851703407,32,1059,1935,18,0.7154175016700067,0.6,0.7341349365397462,30,796,2198,20
10,9,4,50,2994,0.4358264141612583,0.6957648630594522,0.62,0.6292585170340681,31,1110,1884,19,0.7167468269873079,0.62,0.7157648630594522,31,851,2143,19
10,9,0,50,2994,0.45057504375775653,0.7326052104208416,0.66,0.665998663994656,33,1000,1994,17,0.7207214428857716,0.56,0.7598530394121576,28,719,2275,22
10,9,0,50,2994,0.4655442403422462,0.7180761523046092,0.64,0.6503006012024048,32,1047,1947,18,0.7196058784235138,0.58,0.7274549098196392,29,816,2178,21
10,9,1,50,2994,0.4809386233488719,0.756312625250501,0.68,0.687374749498998,34,936,2058,16,0.7223046092184369,0.6,0.7548430193720775,30,734,2260,20
10,9,2,50,2994,0.4320833782354991,0.7091716766867068,0.66,0.6295925183700735,33,1109,1885,17,0.7261790247160989,0.62,0.7317969271877087,31,803,2191,19
10,9,3,50,2994,0.4900281892882453,0.8013092852371411,0.7,0.6973947895791583,35,906,2088,15,0.7206546426185706,0.5,0.7792251169004676,25,661,2333,25
10,9,0,50,2994,0.45702527794573045,0.7275885103540414,0.68,0.675684702738811,34,971,2023,16,0.7303406813627255,0.56,0.7605210420841684,28,717,2277,22
10,9,1,50,2994,0.4797212580839793,0.7476486305945224,0.7,0.6977287909151637,35,905,2089,15,0.7161990647962592,0.5,0.769873079492318,25,689,2305,25
10,9,2,50,2994,0.4548226015435325,0.704562458249833,0.64,0.6349365397461589,32,1093,1901,18,0.7117702070808284,0.58,0.7147628590514362,29,854,2140,21
10,9,3,50,2994,0.4581925968329112,0.7171476285905144,0.66,0.6539746158984636,33,1036,1958,17,0.7262658650634602,0.58,0.7471609886439545,29,757,2237,21
10,9,4,50,2994,0.5196319354905022,0.8167000668002671,0.78,0.781563126252505,39,654,2340,11,0.7295925183700734,0.42,0.8336673346693386,21,498,2496,29
